"UPH_SG","UPH_NM","UPH_CD","area_m","SUBS","area_mine","percent_mine"
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"ESMERALDA",36865219.3787842,0.006
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"ESTEATITO",48785699.1893311,0.009
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"FELDSPATO",14371264.7001953,0.003
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"FERRO",240713669.949341,0.042
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"FILITO",4926562.09692383,0.001
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"GEMA",21630614.0056152,0.004
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"GNAISSE",68423614.276001,0.012
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"GRANITO",340424844.869263,0.06
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"ILMENITA",4838445.03100586,0.001
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"ITABIRITO",3734150.59069824,0.001
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"MANGANÊS",6416853.37036133,0.001
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"MINÉRIO DE ALUMÍNIO",65835853.8798828,0.012
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"MINÉRIO DE BERÍLIO",437348271.567749,0.077
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"MINÉRIO DE COBRE",32531.9919433594,0
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"MINÉRIO DE FERRO",1965106864.05652,0.346
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"MINÉRIO DE MANGANÊS",100887522.057983,0.018
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"MINÉRIO DE NÍQUEL",7903796.09790039,0.001
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"MINÉRIO DE OURO",622495873.526245,0.11
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"MINÉRIO DE SILÍCIO",6562264.89160156,0.001
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"MINÉRIO DE TÂNTALO",3426494.86816406,0.001
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"OURO",160200882.075439,0.028
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"QUARTZITO",30956691.9473877,0.005
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"QUARTZO",105395947.219971,0.019
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"SERPENTINITO",3015218.26806641,0.001
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"TALCO",12024847.8674316,0.002
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"TURFA",14082154.3481445,0.002
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"VANÁDIO",10000108.2331543,0.002
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"ÁGUA MARINHA",65538861.8388672,0.006
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"ÁGUA MINERAL",2181721.11303711,0
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"ALEXANDRITA",5385953.04638672,0.001
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"AMETISTA",1042064.68554688,0
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"AREIA",169383364.575928,0.016
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"AREIA DE FUNDIÇÃO",6576139.38696289,0.001
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"ARGILA",35542.4033203125,0
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"BASALTO",3412111.01269531,0
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"BAUXITA",5481191.81713867,0.001
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"BERILO",21078163.6984863,0.002
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"CALCÁRIO",2996968.27197266,0
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"CASCALHO",753551.086669922,0
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"CAULIM",242596105.976562,0.023
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"CHUMBO",9417392.82299805,0.001
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"COLUMBITA",944713.284667969,0
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"CRISOBERILO",5000055.5456543,0
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"CROMITA",34682570.2824707,0.003
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"DADO NÃO CADASTRADO",142394796.301514,0.013
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"DIAMANTE",2727638.97753906,0
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"ESTEATITO",202032973.883789,0.019
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"FELDSPATO",8090145.71606445,0.001
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"FERRO",167098205.325439,0.016
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"FILITO",14634205.0358887,0.001
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"FOSFATO",299152264.237549,0.028
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"GABRO",507379.123779297,0
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"GEMA",17772476.402832,0.002
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"GNAISSE",20596924.1643066,0.002
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"GRANITO",582540047.43335,0.054
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"ILMENITA",19319070.2736816,0.002
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"ITABIRITO",9792274.03808594,0.001
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"MANGANÊS",9947613.59619141,0.001
